EXP;GIRL;AGE;TIREDNESS;SLEEP;HEIGHT;WEIGHT;DEP1;DEP2;DEP3;DEP4;IG;IGPHOTOS1;IGPHOTOS2;INTER1;INTER2;INTER3;INTER4;INTER5;APP1;APP2;APP3;APP4;APP5;APP6;APP7;APP8;APP9;APP10;SELF1;SELF2;SELF3;SELF4;SELF5;SCHEM1;SCHEM2;SCHEM3;SCHEM4;SCHEM5;SCHEM6;SCHEM7;SCHEM8;SCHEM9;SHCEM10;MEMORY1;MEMORY2;BD1;BD2;BD3;BD4;BD5;BD6;BD7;BD8;BD9;ATT1;ATT2;COM1;COM2;BMI
1;1;16;4;2;167;60;3;2;2;3;4;2;4;4;5;5;5;4;2;2;3;2;4;2;3;3;3;3;3;3;2;2;3;2;2;2;2;4;3;4;1;2;2;2;2;2;4;4;3;4;5;4;3;5;2;1;3;4;21,5138585105239
1;1;17;2;5;166;55;3;2;3;3;5;2;5;1;2;1;2;1;3;3;3;3;3;2;3;3;2;3;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;3;2;3;2;2;2;4;19,9593554942662
1;0;15;3;4;170;65;3;2;1;3;3;3;2;2;2;2;1;2;2;3;2;3;3;4;4;3;4;3;2;2;3;3;3;3;4;4;4;2;5;5;2;5;3;99;99;1;1;1;3;3;3;4;2;3;2;2;1;2;22,4913494809689
1;1;16;5;2;175;56;1;1;1;1;4;2;4;1;1;1;1;1;4;5;5;4;5;5;4;5;5;99;4;4;2;4;3;3;3;2;1;3;3;4;3;3;5;2;2;1;1;2;2;3;2;2;5;2;1;4;2;99;18,2857142857143
1;0;18;3;1;173;70;2;2;3;3;5;2;5;2;4;5;4;4;5;4;5;5;5;5;5;5;4;4;4;4;4;2;3;5;5;3;4;1;5;4;4;4;5;2;2;2;2;1;3;1;1;3;1;4;3;4;2;3;23,3886865581877
0;1;16;4;3;166;59;4;4;4;4;4;2;3;3;4;2;3;2;5;4;5;5;4;4;5;5;5;5;3;3;4;3;4;5;4;5;4;5;3;5;5;4;3;2;2;4;2;3;4;3;1;2;1;3;3;2;1;2;21,4109449847583
0;1;15;4;4;166;60;3;1;2;2;1;1;1;3;5;4;4;3;3;2;3;2;3;3;1;2;2;1;2;3;2;2;3;2;4;2;4;3;1;1;2;3;1;2;2;5;5;3;5;3;1;5;3;2;1;1;2;1;21,7738423573813
1;1;16;3;3;160;76;3;2;3;2;4;2;4;5;5;4;5;5;1;1;2;1;1;1;3;2;1;2;2;2;4;2;2;5;4;5;5;2;4;5;2;5;4;2;2;5;2;5;1;99;3;4;99;3;4;1;3;4;29,6875
1;1;14;5;5;150;40;4;4;4;4;2;2;2;4;4;3;4;3;3;3;3;3;3;1;3;3;2;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;5;2;2;5;5;1;1;1;5;1;5;1;4;4;4;4;17,7777777777778
0;1;15;4;4;162;48;3;1;3;2;5;5;5;2;3;3;2;1;99;99;4;4;2;4;99;4;4;3;3;3;2;2;99;1;2;1;99;1;1;1;1;2;1;2;2;2;2;3;2;2;3;2;2;2;2;2;3;1;18,2898948331047
0;0;16;4;5;180;60;5;5;2;1;5;2;5;3;3;3;3;3;3;3;2;3;3;1;1;2;1;1;2;2;1;3;1;1;1;3;3;1;3;3;1;3;3;2;2;1;1;3;5;3;1;5;1;5;1;1;2;1;18,5185185185185
1;0;16;3;1;182;65;2;1;3;2;1;1;1;1;1;1;1;1;3;5;99;3;2;3;1;5;99;4;3;2;2;3;3;1;1;1;1;2;1;2;1;1;1;2;2;1;1;3;2;3;1;5;3;2;99;99;2;99;19,6232339089482
0;1;18;4;3;169;63;5;5;5;5;4;2;3;4;4;5;5;4;5;3;5;3;4;4;5;3;3;3;2;2;3;2;2;5;5;5;5;5;5;5;5;5;5;2;2;5;5;4;4;5;5;4;1;5;4;1;3;99;22,0580511886839
0;0;15;3;3;175;62;2;1;2;2;2;2;2;2;4;2;3;2;3;99;4;3;2;2;3;2;3;2;2;2;2;99;99;1;1;2;3;2;1;1;1;1;1;2;2;3;3;3;2;3;3;3;2;3;2;2;2;4;20,2448979591837
0;1;18;4;3;164;61;5;5;4;5;5;2;5;4;5;5;5;4;2;2;2;1;2;2;2;2;2;1;1;1;2;1;2;5;5;5;4;4;5;4;5;5;4;2;2;4;5;5;4;5;4;4;5;4;3;1;3;3;22,6799524092802
